000_filename,width,height,class,xmin,ymin,xmax,ymax
001_f772ad8fe3eb0347797d2631c398c379_jpg.rf.9a71de78e80aa75b14853020a7d98ea6.jpg,416,278,B1,51,117,154,137
002_f772ad8fe3eb0347797d2631c398c379_jpg.rf.9a71de78e80aa75b14853020a7d98ea6.jpg,416,278,F16,222,146,256,157
003_f772ad8fe3eb0347797d2631c398c379_jpg.rf.9a71de78e80aa75b14853020a7d98ea6.jpg,416,278,F16,277,158,311,170
004_f772ad8fe3eb0347797d2631c398c379_jpg.rf.9a71de78e80aa75b14853020a7d98ea6.jpg,416,278,F16,326,170,359,182
005_edad891d58a381d1f8987172afd24395_jpg.rf.99ed9a2056937142bf9abe6c8f56ea42.jpg,416,312,A400M,142,110,214,136
006_e6b732c9c19511ec655019b7c48a3ace_jpg.rf.99651005f2608e5db3b48cea262ec88b.jpg,416,278,B52,99,37,252,166
007_f8c3b2159d9d2a6291cca223bf7db615_jpg.rf.9a07b6a2778143b62a27f03d91f46836.jpg,416,232,C130,108,89,248,138
008_f8c3b2159d9d2a6291cca223bf7db615_jpg.rf.9a07b6a2778143b62a27f03d91f46836.jpg,416,232,F16,49,111,83,139
009_f8c3b2159d9d2a6291cca223bf7db615_jpg.rf.9a07b6a2778143b62a27f03d91f46836.jpg,416,232,F16,339,112,373,139
010_ed57a7a0b830c7cfbac2239298633bed_jpg.rf.99d71c3fbe5024436ac1ae5d0af8fa6d.jpg,416,278,C130,187,22,290,105
011_950b922572fa15b0e6d81e2842c2dd43_jpg.rf.9a1df7686a9cc5fd268874c6a47d8615.jpg,416,274,F4,67,85,379,211
012_eb66addfaaa9f02e7b13b2759575a01d_jpg.rf.9aa55b6c7200e30f5de6f7a806529092.jpg,416,278,F4,46,92,287,182
013_11be6be9e33c2b3e33320aa94de68b40_jpg.rf.9aeab05b1f7182c5b520ee85180e5702.jpg,416,298,XB70,1,27,416,247
014_e2db0f002f8f9759945bccc7a5298e0e_jpg.rf.98bd328b20eedf373442da69d318338b.jpg,416,278,B52,261,203,285,208
015_e4ebfb5d0199d0a496169a30fa3d956d_jpg.rf.9b2b12a0fdd9bd33ded06def716bfa0a.jpg,416,234,SR71,19,78,405,227
016_f6d55e2d3b3f1a6be0554dd47c0f1b9f_jpg.rf.973dbaf522d46e65335c2fadde656aef.jpg,416,278,F117,199,183,327,207
017_f6d55e2d3b3f1a6be0554dd47c0f1b9f_jpg.rf.973dbaf522d46e65335c2fadde656aef.jpg,416,278,F117,242,147,363,169
018_f6d55e2d3b3f1a6be0554dd47c0f1b9f_jpg.rf.973dbaf522d46e65335c2fadde656aef.jpg,416,278,F117,278,120,392,140
019_f6d55e2d3b3f1a6be0554dd47c0f1b9f_jpg.rf.973dbaf522d46e65335c2fadde656aef.jpg,416,278,F117,154,135,266,156
020_f6d55e2d3b3f1a6be0554dd47c0f1b9f_jpg.rf.973dbaf522d46e65335c2fadde656aef.jpg,416,278,F117,1,155,108,176
021_e14449be0c4535fd2d7e687e89f0eca1_jpg.rf.9b96ef4eed22bc7f1f9da9d69d4cff97.jpg,298,416,F35,55,86,224,320
022_4ecace262ae517348bca1d15f930a7a3_jpg.rf.9b29c025a5d5e7c6ee12f46b583e706d.jpg,278,416,SR71,122,17,215,81
023_ec9a6406f96feb1b27c57ddd84a3f5d0_jpg.rf.98323f8b027a23f1ab27dbcceb15287b.jpg,416,278,Mig31,12,214,64,228
